name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Tokyo,2025-02-02,47.9,37.8,40.7,45.9,31.8,37.4,37.4,88.6,0.276,100,25,rain,0,0,19.9,8.1,336.2,1016.8,92.5,8.1,33.7,3,2,10,2025-02-02T06:40:19,2025-02-02T17:09:07,0.13,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-02-03,48.3,39.5,43.1,47.9,35.5,41.2,35.2,74.5,0,0,0,,0,0,12.1,6.9,324.5,1008.3,80.4,10.6,82.2,7.1,4,10,2025-02-03T06:39:30,2025-02-03T17:10:09,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-02-04,50.2,37.7,43,50.2,32.8,39.9,27.4,56,0,0,0,"rain,snow",0,0,19.5,9.2,306.7,999.4,34.6,12.6,119.8,10.2,5,10,2025-02-04T06:38:40,2025-02-04T17:11:12,0.2,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-02-05,46.1,33.2,39.5,43.2,28.1,34.5,16.8,41.8,0,0,0,,0,0,25.9,15.1,256.3,1001.4,14.5,14.4,162.9,14,6,10,2025-02-05T06:37:49,2025-02-05T17:12:14,0.25,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-02-06,47.5,31.5,39.2,46.3,24.5,35.1,14.1,36.3,0,0,0,,0,0,19.9,10.6,216.3,1008.3,6.2,14.3,168,14.6,6,10,2025-02-06T06:36:56,2025-02-06T17:13:16,0.27,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-02-07,50.1,32.2,40.7,50.1,30.5,37.3,14.3,35.2,0,0,0,snow,0,0,26.6,17.3,232.2,1006.9,15.7,13.8,159.6,13.8,6,10,2025-02-07T06:36:01,2025-02-07T17:14:18,0.31,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-02-08,48.4,33.1,40.3,43.6,21,33.9,16.4,38.5,0,0,0,,0,0,37.4,22.2,306.8,1006.7,5.8,13.6,172.5,14.8,6,10,2025-02-08T06:35:05,2025-02-08T17:15:20,0.34,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47671099999,47670099999,47686099999,47642043313,47680099999,RJTY,47626099999,47682099999,RJTT,RJAA"
Tokyo,2025-02-09,52,34.1,41.2,52,28.3,37.3,15.5,36.5,0,0,0,,0,0,27.1,10.2,320.2,1014.8,2.1,14.4,180.4,15.6,7,10,2025-02-09T06:34:08,2025-02-09T17:16:22,0.38,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-02-10,51.9,31.8,41.7,51.9,25.7,38.9,18.6,40.7,0,0,0,,0,0,16.1,7.9,311.7,1016.3,4.2,13.6,164.2,14.1,7,10,2025-02-10T06:33:09,2025-02-10T17:17:23,0.41,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,RJTY,47626099999,47682099999,RJTT,RJAA"
Tokyo,2025-02-11,49.4,33.2,41.4,44.2,30.1,37,19.8,43.3,0,0,0,,0,0,31.1,17.2,320.3,1020.1,2.6,13.4,182.1,15.8,7,10,2025-02-11T06:32:09,2025-02-11T17:18:24,0.45,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,RJTY,47626099999,47682099999,RJTT,RJAA"
