city,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,city.1,clothing_recommendation,season,sunrise_hour,sunset_hour,datetime_hour,month,date,day_of_week,msPlayed,genre,main_genre,temp_bin
Tokyo,2024-10-14,92.6,76.4,82.9,97.9,76.4,86.1,72.5,72.6,0.036,100.0,12.5,rain,0.0,0.0,17.2,8.1,183.8,1010.0,99.4,15.0,266.5,22.9,9,10.0,05:14:43,17:30:33,0.39,"rain, overcast",Cloudy skies throughout the day with early morning rain.,rain,remote,Tokyo,"🩳 Sleeveless, linen, sandals, drink water! ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Autumn,5,17,0,October,2024-10-14,Monday,14732182,gospel,african gospel,"(73.42, 87.8]"
Tokyo,2024-10-15,91.7,72.9,81.0,93.7,72.9,82.1,68.3,68.4,0.0,0.0,0.0,Unknown,0.0,0.0,21.5,9.6,187.1,1011.7,98.2,15.0,260.0,22.7,10,10.0,05:14:17,17:30:32,0.42,overcast,Cloudy skies throughout the day.,cloudy,remote,Tokyo,"🩳 Shorts, tank top, hat, sunglasses 🕶️ (Sunscreen & sunglasses)",Autumn,5,17,0,October,2024-10-15,Tuesday,32440627,nan,Unknown,"(73.42, 87.8]"
Tokyo,2024-10-16,90.4,68.8,78.7,90.3,68.8,79.2,66.1,68.4,0.0,0.0,0.0,Unknown,0.0,0.0,25.1,11.4,193.2,1013.0,50.5,15.0,304.4,26.5,10,10.0,05:13:52,17:30:31,0.46,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote,Tokyo,"🩳 Shorts, tank top, hat, sunglasses 🕶️ (Sunscreen & sunglasses)",Autumn,5,17,0,October,2024-10-16,Wednesday,31647209,nan,Unknown,"(73.42, 87.8]"
Tokyo,2024-10-17,87.9,71.1,78.6,89.0,71.1,79.1,66.0,67.5,0.0,0.0,0.0,Unknown,0.0,0.0,24.2,11.4,198.6,1013.0,68.8,15.0,280.5,24.3,10,10.0,05:13:27,17:30:31,0.5,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote,Tokyo,"🩳 Shorts, tank top, hat, sunglasses 🕶️ (Sunscreen & sunglasses)",Autumn,5,17,0,October,2024-10-17,Thursday,36496887,nan,Unknown,"(73.42, 87.8]"
Berlin,2024-04-07,73.5,57.3,65.6,73.5,57.3,65.6,50.7,60.2,0.0,0.0,0.0,Unknown,0.0,0.0,20.8,13.2,198.4,1014.5,77.1,24.8,164.4,14.2,6,22.128353498158862,06:26:03,19:52:08,0.95,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"00427,03987,00403,E2835,00433",Berlin,"👕 T-shirt, jeans/skirt, light sneakers 🕶️ (Sunscreen & sunglasses)",Spring,6,19,0,April,2024-04-07,Sunday,9134568,gregorian chant,gregorian chant,"(59.04, 73.42]"
Berlin,2024-04-16,49.3,41.1,44.5,44.4,34.5,38.6,37.7,77.2,0.135,100.0,33.33,rain,0.0,0.0,37.6,17.4,265.9,1000.2,78.2,20.0,109.9,9.5,4,22.128353498158862,06:05:44,20:07:52,0.25,"rain, partially cloudy",Partly cloudy throughout the day with rain.,rain,"00427,03987,00403,E2835,00433,00400",Berlin,"🧥 Coat or insulated jacket, boots ☔ (Umbrella recommended)",Spring,6,20,0,April,2024-04-16,Tuesday,6901052,afropop,afrobeats,"(30.28, 44.66]"
Berlin,2024-04-17,51.5,36.2,43.3,51.5,30.5,40.0,34.3,72.5,0.006,100.0,12.5,rain,0.0,0.0,17.4,13.1,334.8,1007.7,42.3,27.8,200.2,17.1,8,22.128353498158862,06:03:32,20:09:37,0.28,"rain, partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"00427,03987,00403,E2835,00433,00400",Berlin,"🧥 Coat or insulated jacket, boots ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Spring,6,20,0,April,2024-04-17,Wednesday,3566462,gregorian chant,gregorian chant,"(30.28, 44.66]"
Berlin,2024-04-19,46.8,41.5,43.5,43.7,35.7,38.9,39.3,85.2,0.267,100.0,58.33,rain,0.0,0.0,31.1,13.5,228.8,1006.2,99.7,19.7,79.5,6.8,5,22.128353498158862,05:59:11,20:13:06,0.35,"rain, overcast",Cloudy skies throughout the day with rain.,rain,"00427,03987,00403,E2835,00433,00400",Berlin,"🧥 Coat or insulated jacket, boots ☔ (Umbrella recommended)",Spring,5,20,0,April,2024-04-19,Friday,83157,nan,Unknown,"(30.28, 44.66]"
Berlin,2024-04-21,47.3,30.8,39.4,42.4,24.1,33.3,28.0,65.0,0.0,0.0,0.0,Unknown,0.0,0.0,26.4,17.7,53.6,1022.8,31.9,27.0,152.9,13.2,7,22.128353498158862,05:54:53,20:16:35,0.42,partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"00427,03987,00403,E2835,00433,00400",Berlin,"🧥 Heavy coat, thermal wear, gloves, boots 🕶️ (Sunscreen & sunglasses)",Spring,5,20,0,April,2024-04-21,Sunday,24464890,nan,afrobeats,"(30.28, 44.66]"
Berlin,2024-04-23,48.1,31.3,40.6,45.5,26.0,37.7,28.8,66.5,0.0,0.0,0.0,Unknown,0.0,0.0,15.7,8.6,277.3,1019.4,44.8,26.2,263.1,22.9,10,22.128353498158862,05:50:38,20:20:04,0.48,partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"00427,03987,00403,E2835,00433,00400",Berlin,"🧥 Heavy coat, thermal wear, gloves, boots 🕶️ (Sunscreen & sunglasses)",Spring,5,20,0,April,2024-04-23,Tuesday,5926455,nan,trap latino,"(30.28, 44.66]"
